site.id,east,north,SR,meant,precip,gdd
2034,54,10,93,10.11299567,790.973,3452.693608
2035,54,11,82,9.978177846,846.9746667,3386.103428
2036,54,12,78,9.714699749,803.4358333,3256.07906
2037,54,13,85,9.141042779,841.9941667,2995.94891
2038,54,14,81,9.434700776,745.0818333,3128.883456
2039,54,15,83,8.914196555,787.2826667,2900.076628
2040,54,16,82,9.782220853,731.0925,3285.105215
2041,54,17,77,10.36387394,615.1945,3539.306775
2042,54,18,77,10.65660518,579.8761667,3667.141604
2043,54,19,100,10.14714716,630.2885,3431.445407
2044,54,20,70,9.781001369,602.1776667,3275.731645
2045,54,21,86,9.625172827,590.1158333,3206.315815
2046,54,22,77,9.25775713,631.8291667,3043.953206
2047,54,23,68,9.072955852,620.6781667,2969.888382
2048,54,24,86,9.628446042,537.3721667,3207.968304
2049,54,25,77,9.798712526,545.5966667,3280.892815
2050,54,26,80,9.768894022,542.9265,3270.979626
2051,54,27,74,9.574495095,537.0141667,3182.725111
2052,54,28,92,9.428151038,544.591,3115.721977
2053,54,29,71,9.651176934,546.0666667,3212.762991
2054,54,30,61,9.631593771,556.92,3204.851501
2055,54,31,73,9.455735227,567.9661667,3126.523794
2056,54,32,58,9.386763404,578.2056667,3099.381892
2057,54,33,62,9.46964773,563.0873333,3152.237381
2058,54,35,54,9.258291809,592.7683333,3037.827366
2059,54,36,55,9.080883984,649.9326667,2959.597547
2060,54,37,75,8.805717203,693.8261667,2849.527044
2061,54,38,71,9.141537303,636.4258333,2989.521808
2062,54,39,75,9.190790098,589.9878333,3013.923242
2063,55,10,78,9.972133927,804.37,3377.257462
2064,55,11,71,9.49811248,795.776,3170.548936
2065,55,12,69,9.389857061,830.8486667,3117.079563
2066,55,13,82,9.471941593,852.401,3150.971574
2067,55,14,83,9.650569017,704.0828333,3228.192624
2068,55,15,97,9.134773671,747.9695,2989.864847
2069,55,16,85,9.710369952,692.32,3255.544935
2070,55,17,93,10.29671606,572.0175,3511.620961
2071,55,18,103,10.32020945,562.535,3515.665433
2072,55,19,92,9.796112366,599.757,3281.877232
2073,55,20,79,9.573114876,611.1773333,3181.405503
2074,55,21,73,9.566910107,601.1948333,3176.666663
2075,55,22,85,9.39034976,602.5556667,3095.852948
2076,55,23,78,9.522541638,591.583,3159.486571
2077,55,24,68,9.459044832,569.3191667,3131.81057
2078,55,25,72,9.691048711,554.2956667,3233.379628
2079,55,26,91,9.793891969,534.897,3278.735095
2080,55,27,89,9.586070386,540.7398333,3184.660647
2081,55,28,82,9.505190737,549.1821667,3149.302694
2082,55,29,80,9.491828314,545.0845,3142.173659
2083,55,30,71,9.47173306,554.457,3131.619386
2084,55,31,63,9.379522701,581.571,3091.254703
2085,55,32,79,9.417429158,592.9026667,3115.807076
2086,55,36,59,9.289590691,614.0461667,3045.702709
2087,55,37,64,9.300873374,632.8091667,3056.60111
2088,56,10,73,10.2208906,791.2708333,3490.626386
2089,56,11,80,9.527667807,800.6853333,3177.356819
2090,56,12,78,9.291206594,889.5518333,3064.794207
2091,56,13,87,9.305657769,844.2318333,3068.546669
2092,56,14,90,9.615598563,707.0846667,3213.503848
2093,56,15,86,9.332892197,697.22,3082.511955
2094,56,16,89,9.254072325,694.9458333,3049.051155
2095,56,17,92,10.12433356,547.1888333,3437.732908
2096,56,18,85,10.10480949,548.2058333,3417.305209
2097,56,19,62,9.596574721,593.4641667,3191.361504
2098,56,20,83,9.398129478,602.5,3107.598237
2099,56,21,75,9.405061259,585.258,3109.811442
2100,56,22,62,9.425553046,584.0956667,3113.91039
2101,56,23,63,9.184813712,584.7115,3011.441027
2102,56,24,66,9.090300593,587.356,2975.916248
2103,56,25,74,9.192637121,593.275,3016.1707
2104,56,26,77,9.684189368,548.9778333,3229.994583
2105,56,27,75,9.729266484,539.8218333,3246.751693
2106,56,28,74,9.567856035,561.8106667,3175.106222
2107,56,29,84,9.426779831,564.6231667,3109.226996
2108,56,30,78,9.308634155,580.6146667,3060.294996
2109,56,31,95,9.437504791,600.2778333,3113.045533
2110,56,32,107,9.494906913,607.2656667,3149.942481
2111,57,11,78,9.70546783,809.948,3246.828371
2112,57,12,84,9.664537874,836.8141667,3232.151102
2113,57,13,86,9.362030459,789.1276667,3090.393234
2114,57,14,80,9.859407598,685.6635,3315.818635
2115,57,15,85,9.754063997,642.3371667,3271.898658
2116,57,16,95,10.20723203,635.4715,3470.046836
2117,57,17,106,10.28489436,566.7705,3505.541271
2118,57,18,86,10.17279124,545.6561667,3449.00878
2119,57,19,84,9.822595597,569.8393333,3290.62409
2120,57,20,87,9.62680527,565.5636667,3208.510715
2121,57,21,84,9.500489277,565.8526667,3149.207627
2122,57,22,75,9.462794889,565.3203333,3131.126014
2123,57,23,57,9.323049738,567.2416667,3070.668513
2124,57,24,80,9.254788501,576.6836667,3043.746812
2125,57,25,77,9.188301848,595.3673333,3013.538866
2126,57,26,79,9.573307666,583.298,3180.387115
2127,57,27,107,9.675695414,555.7876667,3223.241746
2128,57,28,105,9.337914784,577.7676667,3074.943394
2129,57,29,75,9.225128565,599.7178333,3026.006912
2130,57,30,96,9.458665868,612.4025,3122.036813
2131,57,31,95,9.434863564,643.8016667,3109.522087
2132,57,32,84,9.182522815,657.2131667,3007.91618
2133,57,33,74,9.176335044,671.1663333,3006.450475
2134,57,34,113,9.319342688,615.003,3077.058392
2135,58,11,97,9.843001027,780.1475,3303.556361
2136,58,12,75,9.704510495,774.5935,3246.86116
2137,58,13,75,9.552248232,736.4858333,3180.996706
2138,58,14,79,9.766003993,659.2933333,3276.469778
2139,58,15,81,9.359013803,703.7633333,3092.923041
2140,58,16,95,10.18241456,672.831,3456.847774
2141,58,17,87,10.41349749,550.577,3565.021212
2142,58,18,59,10.28291513,528.245,3494.488636
2143,58,19,81,9.939905886,560.5541667,3337.016907
2144,58,20,73,9.7326013,557.0256667,3250.905285
2145,58,21,87,9.801691421,548.7126667,3279.911743
2146,58,22,78,9.810877367,559.3985,3283.994537
2147,58,23,78,9.540014716,557.0923333,3163.4875
2148,58,24,85,9.432683208,564.451,3116.451515
2149,58,25,62,9.243802989,599.743,3038.689106
2150,58,26,88,9.501703285,590.2371667,3148.922699
2151,58,27,113,9.46447707,604.3203333,3129.486442
2152,58,28,96,9.027029432,631.0098333,2940.675921
2153,58,29,105,8.876016427,632.0565,2882.325522
2154,58,30,93,9.092313826,667.501,2967.994981
2155,58,31,93,9.10750251,702.6868333,2977.571557
2156,58,32,88,9.07697034,710.8018333,2964.676225
2157,58,33,79,9.08259514,690.4495,2964.957076
2158,58,34,102,9.505538216,613.9886667,3164.316895
2159,59,12,92,9.828305955,726.2843333,3297.857259
2160,59,13,87,9.870737394,709.4183333,3316.640819
2161,59,14,75,9.755182067,688.7538333,3267.983557
2162,59,15,71,9.264273899,744.4881667,3052.357882
2163,59,16,98,10.15878884,598.8365,3450.45516
2164,59,19,64,10.02479363,522.0353333,3375.383151
2165,59,20,68,10.00021116,532.3201667,3369.372706
2166,59,21,92,9.831266028,550.899,3292.378116
2167,59,22,94,9.848234086,560.825,3297.191762
2168,59,23,79,9.622121264,546.0541667,3197.039242
2169,59,24,79,9.376288045,562.6503333,3090.486291
2170,59,25,71,9.224362879,596.0308333,3028.043857
2171,59,26,85,9.467690281,590.25,3131.278977
2172,59,27,100,9.491772872,595.7761667,3140.390426
2173,59,28,93,9.263385695,626.6795,3042.234547
2174,59,29,96,9.078294775,641.3268333,2963.029134
2175,59,30,71,9.127183892,665.3836667,2985.938128
2176,59,31,75,9.248119895,675.3603333,3036.748941
2177,59,32,94,9.154563883,697.7171667,2997.756989
2178,59,33,85,9.225674424,673.3295,3024.897319
2179,59,34,82,9.436149213,613.22,3125.743318
2180,6,79,36,8.898766028,1327.562667,3034.622698
2181,60,12,66,10.15166381,694.1685,3443.017168
2182,60,13,81,9.947456194,714.8526667,3348.233122
2183,60,14,92,9.716250171,729.9118333,3252.842626
2184,60,15,93,9.584055099,728.9076667,3195.509697
2185,60,16,109,10.23654483,583.9851667,3491.245794
2186,60,19,68,10.19888273,508.0796667,3469.038823
2187,60,20,74,10.13263986,514.3663333,3440.143809
2188,60,21,91,10.00590965,531.978,3372.338573
2189,60,22,92,9.736137805,562.7116667,3246.602754
2190,60,23,86,9.580996806,565.0125,3177.222052
2191,60,24,78,9.463309833,573.7235,3124.68128
2192,60,25,80,9.32545916,574.2093333,3067.585669
2193,60,26,68,9.374660849,571.3643333,3090.146262
2194,60,27,77,9.369041866,587.8306667,3085.985365
2195,60,28,72,9.330906685,608.4913333,3070.65352
2196,60,29,68,9.290412389,615.1661667,3057.347702
2197,60,30,69,9.273358088,636.476,3050.097917
2198,60,31,84,9.449394707,663.9075,3119.744671
2199,60,32,80,9.248721766,656.4473333,3033.253995
2200,60,33,73,9.047542323,676.7033333,2945.985585
2201,61,13,81,9.940312115,739.4645,3343.475899
2202,61,14,71,9.370717887,819.4948333,3098.532666
2203,61,15,86,9.881273215,705.5123333,3320.985776
2204,61,16,95,10.15546578,607.3386667,3446.927655
2205,61,21,94,9.970403377,516.0743333,3347.691216
2206,61,22,87,9.612254392,546.662,3186.610896
2207,61,23,91,9.679710929,573.2145,3224.476311
2208,61,24,88,9.743303559,578.9425,3245.969282
2209,61,25,81,9.508843486,594.0503333,3142.776054
2210,61,26,58,9.378851129,586.8853333,3087.928766
2211,61,27,73,9.416066621,591.1805,3105.138949
2212,61,28,70,9.341190737,615.8076667,3072.087036
2213,61,29,59,9.224929158,630.2928333,3027.829727
2214,61,30,86,9.379606092,632.7751667,3091.320785
2215,61,31,80,9.404198608,634.9773333,3099.866222
2216,61,32,67,9.243357404,643.8438333,3031.046304
2217,61,33,76,9.163641684,671.3698333,2994.592942
2218,62,14,75,9.387594456,862.7481667,3098.084445
2219,62,15,92,9.744341889,698.965,3263.01308
2220,62,16,99,10.12444399,599.2378333,3426.25999
2221,62,23,95,9.824084759,548.9481667,3289.218359
2222,62,24,91,9.698282455,574.7226667,3225.472136
2223,62,25,77,9.470566621,606.3175,3125.71777
